Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2020-12-13,573.008347948,544.4423824451,574.1048248312,543.3781014138
ETH,2020-12-14,586.321236258,568.4810073729,594.6632217917,564.0155657962
ETH,2020-12-15,587.3035383071,590.4910667964,591.1771645667,575.829119238
ETH,2020-12-16,588.2978961456,586.0840297305,596.7421049057,579.4358216546
ETH,2020-12-17,632.2912858311,588.9026170173,635.3961853634,581.2134698951
ETH,2020-12-18,645.0753045133,637.6940034928,676.2031787443,626.6179551309
ETH,2020-12-19,652.1960225924,643.2014316444,664.2314679206,629.8110263089
ETH,2020-12-20,663.5523430029,654.3642072,669.7860292563,646.367457958
ETH,2020-12-21,635.5837928886,658.211908949,660.7536081422,621.0507683078
ETH,2020-12-22,617.2544032218,638.3338196217,647.9475759746,596.4543684155
ETH,2020-12-23,623.443202693,607.9840448325,634.2480702092,588.1447681466
ETH,2020-12-24,584.5174190516,636.1356521635,637.5411589316,552.0400762167
ETH,2020-12-25,612.5741966765,585.3712486661,613.1704137925,565.7184738674
ETH,2020-12-26,621.6166902622,612.3523821016,633.6035991333,604.6746441664
ETH,2020-12-27,633.9198224178,626.9066385093,651.7661420113,615.5113241018
ETH,2020-12-28,681.2794850106,636.1804971152,714.1125443276,624.7611410159
ETH,2020-12-29,726.1045863344,683.2768616258,746.8759137752,680.2064722333
ETH,2020-12-30,724.5759621528,729.3536883733,739.2383279943,689.1946052616
ETH,2020-12-31,746.0625172683,731.078525788,757.8177542677,717.6850966895
ETH,2021-01-01,741.1184042851,752.3224744953,755.3124653926,724.4313993297
ETH,2021-01-02,730.0351684102,736.7099217033,749.0597988487,721.9209813522
ETH,2021-01-03,771.4757566597,729.7325671355,784.5060312161,716.2258855237
ETH,2021-01-04,976.8926808393,771.7942283706,989.551795499,765.723863603
ETH,2021-01-05,1017.8623988981,971.6427188823,1151.0693893,890.4738063562
ETH,2021-01-06,1123.1628410718,1041.4960000123,1126.8707718668,980.2780636348
ETH,2021-01-07,1193.5715202415,1101.9035692061,1210.541549465,1059.1474753692
